,vacancy_link,vacancy_text,vacancy_company,vacancy_place,salary_from,salary_to,website
24,https://www.superjob.ru/vakansii/veduschij-programmist-1s-erp-32636450.html,Ведущий программист 1С ERP,Русский Аппетит,Воронеж,,,www.superjob.ru
25,https://www.superjob.ru/vakansii/php-programmist-32759807.html,PHP-программист (Bitrix),Репропарк,Москва,80000.0,,www.superjob.ru
26,https://www.superjob.ru/vakansii/programmist-1s-32340581.html,Программист 1С,Группа компаний,Химки,,,www.superjob.ru
27,https://www.superjob.ru/vakansii/programmist-1s-32773693.html,Программист 1С,N1 Sport,Пенза,,,www.superjob.ru
28,https://www.superjob.ru/vakansii/programmist-razrabotchik-na-s-32773670.html,Программист-разработчик на С/C++ для STM32,N1 Sport,Пенза,,,www.superjob.ru
29,https://www.superjob.ru/vakansii/programmist-sql-32494805.html,Программист SQL,Группа компаний XXI Век,Ростов-на-Дону,,,www.superjob.ru
30,https://www.superjob.ru/vakansii/programmist-asutp-32773471.html,Программист АСУТП,Стаффмикс,"Санкт-Петербург,Выборгская",,,www.superjob.ru
31,https://www.superjob.ru/vakansii/programmist-1s-8-32805008.html,Программист 1С 8.3,Самсон-опт,Воронеж,78000.0,110000.0,www.superjob.ru
32,https://www.superjob.ru/vakansii/programmist-1s-32664297.html,Программист 1С,"ТД ""РИФ""",Ростов-на-Дону,,,www.superjob.ru
33,https://www.superjob.ru/vakansii/programmist-1s-32020139.html,Программист 1С,Актив Упак,Ростов-на-Дону,,,www.superjob.ru
34,https://www.superjob.ru/vakansii/veduschij-programmist-1s-31746539.html,Ведущий программист 1С,"Компания ""Ронова""","Москва,Калужская",150000.0,200000.0,www.superjob.ru
35,https://www.superjob.ru/vakansii/junior-32521776.html,Junior / MiddlePHP-программист,Стаффмикс,Псков,,,www.superjob.ru
36,https://www.superjob.ru/vakansii/veduschij-programmist-1s-32593969.html,Ведущий программист 1С,Инвестстрой,Вологда,,,www.superjob.ru
37,https://www.superjob.ru/vakansii/inzhener-programmist-1s-30962715.html,Инженер-программист 1С,Самарский Стройфарфор,Самара,,,www.superjob.ru
38,https://www.superjob.ru/vakansii/inzhener-programmist-asu-tp-32772664.html,Инженер-программист АСУ ТП,Специальные конструкции,Лесная,60000.0,80000.0,www.superjob.ru
39,https://www.superjob.ru/vakansii/operator-programmist-stankov-s-chpu-32828001.html,Оператор-программист станков с ЧПУ,Научно - Исследовательский Институт Космических и Авиационных Материалов (НИИКАМ),Переславль-Залесский,,,www.superjob.ru
40,https://www.superjob.ru/vakansii/inzhener-programmist-asutp-32635276.html,Инженер-программист АСУТП (ПЛК),НПО Экосистема,Москва,70000.0,,www.superjob.ru
41,https://www.superjob.ru/vakansii/programmist-vstraivaemyh-sistem-25161408.html,Программист встраиваемых систем (микроконтроллеров),Софт Инжиниринг,Тула,75000.0,,www.superjob.ru
42,https://www.superjob.ru/vakansii/programmist-1s-32343082.html,Программист 1С,СМУ Строй- Прогресс,Ульяновск,45000.0,55000.0,www.superjob.ru
43,https://www.superjob.ru/vakansii/inzhener-tehnolog-32127039.html,Инженер-технолог / Программист станков с ЧПУ,ВОДТРАНСПРИБОР,Речка,,,www.superjob.ru
44,https://hh.ru/vacancy/33814598,Программист 1 С, Энергосистемы и Технологии,"Москва, Люблино и еще 1 ",120000.0,140000.0,www.hh.ru
45,https://hh.ru/vacancy/33940776,.NET C# Разработчик / .NET C# Developer Norway,ООО PaleBlue,Москва,200000.0,300000.0,www.hh.ru
46,https://hh.ru/vacancy/33812932,Программист в Германию,ИП Сметанин Владимир Анатольевич,Москва,2800.0,3800.0,www.hh.ru
47,https://hh.ru/vacancy/32697772,Инженер-программист ( front-end developer ) junior/middle, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,"Москва, Юго-Западная",100000.0,140000.0,www.hh.ru
48,https://hh.ru/vacancy/33897746,ГИС программист (front), РеИнформ Инт.,Москва,140000.0,,www.hh.ru
